attendance_id,student_id,class_id,attendance_date,status
80,3838,4,2024-10-30 05:22:44.896196,Absent
81,4275,3,2024-10-08 05:22:44.896200,Absent
82,1145,5,2024-10-15 05:22:44.896205,Present
83,2023,9,2024-10-22 05:22:44.896210,Present
84,386,1,2024-10-21 05:22:44.896214,Present
85,1851,6,2024-11-02 05:22:44.896219,Present
86,3772,1,2024-10-25 05:22:44.896223,Present
87,4512,8,2024-10-22 05:22:44.896228,Present
88,3529,7,2024-10-10 05:22:44.896232,Absent
89,1499,3,2024-10-10 05:22:44.896237,Present
90,2059,7,2024-11-02 05:22:44.896242,Absent
91,3281,2,2024-10-13 05:22:44.896246,Present
92,1931,1,2024-10-10 05:22:44.896250,Present
93,2090,4,2024-11-01 05:22:44.896255,Absent
94,2800,2,2024-10-07 05:22:44.896260,Present
95,3813,10,2024-10-10 05:22:44.896265,Absent
96,1418,7,2024-10-28 05:22:44.896270,Absent
97,4704,8,2024-10-18 05:22:44.896274,Absent
98,2252,2,2024-10-18 05:22:44.896279,Absent
99,224,6,2024-10-24 05:22:44.896284,Present
100,3065,6,2024-10-23 05:22:44.896289,Present
101,2840,11,2024-10-16 05:22:44.896293,Present
102,2730,3,2024-10-27 05:22:44.896298,Absent
103,2500,10,2024-10-16 05:22:44.896302,Absent
104,3876,3,2024-10-07 05:22:44.896307,Absent
105,457,1,2024-10-05 05:22:44.896311,Absent
106,2318,4,2024-10-30 05:22:44.896316,Absent
107,1977,4,2024-10-08 05:22:44.896321,Absent
108,3607,4,2024-11-03 05:22:44.896372,Present
109,4390,8,2024-10-15 05:22:44.896378,Absent
110,2702,3,2024-10-18 05:22:44.896384,Absent
111,2753,2,2024-10-23 05:22:44.896389,Present
112,4488,4,2024-10-22 05:22:44.896394,Absent
113,699,9,2024-10-22 05:22:44.896409,Absent
114,3681,8,2024-10-22 05:22:44.896414,Absent
115,615,8,2024-10-17 05:22:44.896419,Absent
116,3201,9,2024-10-29 05:22:44.896423,Absent
117,4360,2,2024-10-30 05:22:44.896429,Present
118,1864,7,2024-10-30 05:22:44.896433,Present
119,325,9,2024-10-21 05:22:44.896439,Absent
120,3686,2,2024-10-14 05:22:44.896443,Present
121,2770,2,2024-10-30 05:22:44.896448,Present
122,2201,1,2024-10-27 05:22:44.896452,Present
123,4915,2,2024-10-19 05:22:44.896457,Absent
124,1179,6,2024-10-22 05:22:44.896461,Present
125,1152,11,2024-10-26 05:22:44.896466,Absent
126,1443,8,2024-10-23 05:22:44.896471,Absent
127,1582,5,2024-10-21 05:22:44.896476,Absent
128,45,9,2024-10-24 05:22:44.896481,Present
129,3173,4,2024-10-08 05:22:44.896485,Present
130,3119,2,2024-10-16 05:22:44.896491,Absent
131,214,4,2024-10-26 05:22:44.896496,Absent
132,4993,1,2024-10-15 05:22:44.896501,Absent
133,2602,1,2024-10-09 05:22:44.896505,Present
134,4424,3,2024-10-09 05:22:44.896510,Present
135,1756,2,2024-10-14 05:22:44.896514,Absent
136,1579,8,2024-10-30 05:22:44.896522,Absent
137,1722,12,2024-10-31 05:22:44.896527,Absent
138,2135,2,2024-10-22 05:22:44.896532,Absent
139,1917,11,2024-10-30 05:22:44.896536,Present
140,1519,7,2024-11-02 05:22:44.896541,Absent
141,327,1,2024-10-19 05:22:44.896546,Present
142,2282,11,2024-10-25 05:22:44.896551,Absent
143,626,5,2024-10-09 05:22:44.896555,Present
144,3159,7,2024-10-16 05:22:44.896560,Absent
145,1955,6,2024-10-19 05:22:44.896564,Present
146,1471,3,2024-10-12 05:22:44.896569,Present
147,1133,3,2024-11-03 05:22:44.896574,Absent
148,3065,12,2024-10-31 05:22:44.896579,Absent
149,133,6,2024-10-13 05:22:44.896583,Present
150,4750,10,2024-10-14 05:22:44.896589,Present
151,1398,2,2024-10-12 05:22:44.896594,Absent
152,4257,7,2024-10-13 05:22:44.896599,Present
153,3672,10,2024-10-09 05:22:44.896603,Present
154,429,9,2024-10-24 05:22:44.896608,Absent
155,1466,6,2024-10-17 05:22:44.896613,Present
156,3960,12,2024-10-14 05:22:44.896617,Absent
157,880,4,2024-10-05 05:22:44.896622,Present
158,2613,9,2024-10-31 05:22:44.896627,Present
159,851,3,2024-10-24 05:22:44.896631,Absent
160,1626,8,2024-10-31 05:22:44.896636,Present
161,3268,2,2024-10-23 05:22:44.896641,Present
162,3311,11,2024-10-18 05:22:44.896645,Present
163,3926,9,2024-10-26 05:22:44.896650,Absent
164,1156,3,2024-10-12 05:22:44.896655,Absent
165,1578,5,2024-10-21 05:22:44.896659,Present
166,1276,2,2024-10-17 05:22:44.896664,Present
167,3505,12,2024-10-11 05:22:44.896669,Present
168,1773,11,2024-10-16 05:22:44.896674,Absent
169,93,1,2024-10-13 05:22:44.896678,Present
170,4684,1,2024-11-03 05:22:44.896683,Absent
171,1770,3,2024-10-28 05:22:44.896688,Absent
172,870,8,2024-10-28 05:22:44.896693,Present
173,3368,3,2024-10-16 05:22:44.896697,Present
174,3301,6,2024-10-19 05:22:44.896703,Present
175,3944,7,2024-10-05 05:22:44.896708,Present
176,2644,2,2024-11-01 05:22:44.896712,Absent
177,3991,5,2024-10-24 05:22:44.896717,Present
178,3397,9,2024-10-24 05:22:44.896722,Present
179,3682,9,2024-10-27 05:22:44.896727,Present
180,3145,10,2024-10-19 05:22:44.896731,Absent
181,1394,6,2024-10-21 05:22:44.896736,Absent
182,4041,11,2024-10-07 05:22:44.896740,Absent
183,4924,10,2024-10-14 05:22:44.896745,Absent
184,4076,7,2024-11-01 05:22:44.896750,Absent
185,2776,12,2024-10-28 05:22:44.896755,Absent
186,4672,7,2024-11-03 05:22:44.896760,Absent
187,4211,9,2024-10-08 05:22:44.896765,Absent
188,1901,2,2024-11-02 05:22:44.896769,Present
189,220,7,2024-10-19 05:22:44.896774,Present
190,3712,2,2024-11-02 05:22:44.896779,Absent
191,729,11,2024-10-28 05:22:44.896784,Present
192,80,1,2024-10-09 05:22:44.896788,Absent
193,4884,5,2024-10-08 05:22:44.896793,Present
194,1778,10,2024-10-24 05:22:44.896798,Absent
195,1595,11,2024-10-15 05:22:44.896802,Absent
196,272,6,2024-10-28 05:22:44.896807,Absent
197,2216,6,2024-10-06 05:22:44.896812,Present
198,1337,2,2024-10-21 05:22:44.896816,Absent
199,4955,11,2024-10-31 05:22:44.896821,Present
200,744,4,2024-10-12 05:22:44.896826,Absent
201,2602,2,2024-10-11 05:22:44.896831,Absent
202,2786,8,2024-10-17 05:22:44.896836,Absent
203,3006,9,2024-10-23 05:22:44.896840,Absent
204,3405,9,2024-10-08 05:22:44.896845,Absent
205,3219,9,2024-10-21 05:22:44.896850,Present
206,3850,1,2024-10-26 05:22:44.896855,Present
207,3353,1,2024-10-20 05:22:44.896859,Absent
208,2327,11,2024-10-09 05:22:44.896864,Present
209,2078,3,2024-10-16 05:22:44.896869,Present
210,4842,6,2024-10-10 05:22:44.896873,Absent
211,4233,5,2024-10-10 05:22:44.896878,Absent
212,4140,1,2024-10-17 05:22:44.896883,Present
213,2437,11,2024-10-28 05:22:44.896888,Present
214,2438,9,2024-10-27 05:22:44.896892,Present
215,3989,2,2024-11-03 05:22:44.896897,Present
216,1010,10,2024-10-05 05:22:44.896902,Present
217,2693,5,2024-10-27 05:22:44.896907,Absent
218,2915,6,2024-10-12 05:22:44.896911,Present
219,2896,5,2024-10-17 05:22:44.896916,Present
220,1535,1,2024-10-30 05:22:44.896920,Present
221,1051,6,2024-10-25 05:22:44.896925,Present
222,3698,4,2024-10-13 05:22:44.896930,Absent
223,3684,1,2024-10-07 05:22:44.896935,Absent
224,2051,9,2024-10-21 05:22:44.896939,Absent
225,4020,8,2024-11-03 05:22:44.896944,Present
226,3734,6,2024-10-17 05:22:44.896949,Absent
227,1784,10,2024-10-25 05:22:44.896953,Present
228,3793,7,2024-10-13 05:22:44.896958,Present
229,3808,1,2024-10-25 05:22:44.896963,Present
230,156,6,2024-10-06 05:22:44.896967,Absent
231,2767,2,2024-10-29 05:22:44.896972,Absent
232,1687,6,2024-10-29 05:22:44.896977,Absent
233,2130,11,2024-10-05 05:22:44.896981,Present
234,1648,9,2024-10-29 05:22:44.896989,Absent
235,4914,12,2024-11-03 05:22:44.896994,Absent
236,3940,7,2024-11-01 05:22:44.896998,Present
237,2478,9,2024-10-23 05:22:44.897003,Present
238,2110,12,2024-11-02 05:22:44.897007,Absent
239,2642,2,2024-10-05 05:22:44.897012,Absent
240,116,9,2024-11-02 05:22:44.897016,Absent
241,4042,3,2024-10-24 05:22:44.897021,Present
242,1371,10,2024-10-20 05:22:44.897025,Present
243,2570,2,2024-11-03 05:22:44.897030,Present
244,429,6,2024-10-06 05:22:44.897034,Present
245,795,2,2024-11-02 05:22:44.897039,Present
246,2484,5,2024-10-14 05:22:44.897043,Present
247,4845,8,2024-10-16 05:22:44.897048,Absent
248,1253,12,2024-10-12 05:22:44.897052,Present
249,3291,8,2024-10-16 05:22:44.897057,Absent
250,752,5,2024-10-19 05:22:44.897061,Present
251,3376,9,2024-10-05 05:22:44.897066,Present
252,3824,10,2024-10-13 05:22:44.897070,Present
253,629,8,2024-10-28 05:22:44.897075,Present
254,3426,8,2024-10-28 05:22:44.897080,Absent
255,450,8,2024-10-14 05:22:44.897084,Absent
256,2316,10,2024-10-11 05:22:44.897089,Present
257,4191,6,2024-10-11 05:22:44.897094,Absent
258,1531,12,2024-10-28 05:22:44.897099,Absent
259,1421,1,2024-10-25 05:22:44.897103,Absent
260,1882,12,2024-10-18 05:22:44.897108,Present
261,4402,9,2024-10-07 05:22:44.897112,Absent
262,1570,10,2024-10-10 05:22:44.897117,Absent
263,3326,11,2024-10-10 05:22:44.897121,Present
264,273,4,2024-10-27 05:22:44.897126,Present
265,926,12,2024-10-10 05:22:44.897131,Present
266,82,5,2024-10-05 05:22:44.897136,Absent
267,2247,1,2024-10-15 05:22:44.897140,Present
268,929,7,2024-10-16 05:22:44.897145,Present
269,4119,1,2024-10-17 05:22:44.897149,Present
270,4176,10,2024-10-23 05:22:44.897154,Absent
271,3469,4,2024-10-16 05:22:44.897159,Absent
272,1945,6,2024-10-07 05:22:44.897164,Absent
273,1763,7,2024-11-03 05:22:44.897168,Present
274,413,1,2024-10-10 05:22:44.897173,Present
275,766,4,2024-10-22 05:22:44.897177,Present
276,2035,2,2024-10-10 05:22:44.897182,Present
277,772,12,2024-10-27 05:22:44.897187,Present
278,3769,2,2024-10-27 05:22:44.897192,Absent
279,2161,9,2024-10-17 05:22:44.897196,Absent
280,1949,9,2024-10-10 05:22:44.897201,Present
281,2358,6,2024-11-01 05:22:44.897206,Absent
282,4738,12,2024-10-16 05:22:44.897210,Absent
283,2298,12,2024-10-08 05:22:44.897215,Absent
284,774,4,2024-10-15 05:22:44.897220,Present
285,2659,5,2024-11-03 05:22:44.897225,Absent
286,1538,11,2024-10-26 05:22:44.897229,Absent
287,3138,8,2024-10-25 05:22:44.897234,Present
288,2082,1,2024-10-24 05:22:44.897239,Absent
289,921,9,2024-10-16 05:22:44.897244,Absent
290,1116,11,2024-10-17 05:22:44.897249,Present
291,1235,7,2024-10-15 05:22:44.897253,Present
292,3829,2,2024-10-19 05:22:44.897258,Absent
293,4045,12,2024-10-29 05:22:44.897263,Present
294,3801,2,2024-10-24 05:22:44.897268,Present
295,3119,6,2024-10-24 05:22:44.897273,Present
296,345,2,2024-10-22 05:22:44.897278,Absent
297,1662,6,2024-10-29 05:22:44.897283,Present
298,1224,6,2024-10-08 05:22:44.897287,Absent
299,1013,5,2024-10-12 05:22:44.897292,Absent
300,3330,7,2024-10-24 05:22:44.897297,Present
301,4158,7,2024-10-13 05:22:44.897302,Present
302,3565,3,2024-10-30 05:22:44.897307,Present
303,1287,7,2024-10-31 05:22:44.897312,Absent
304,2174,4,2024-10-15 05:22:44.897317,Present
305,2926,7,2024-10-20 05:22:44.897321,Absent
306,2595,2,2024-10-21 05:22:44.897326,Absent
307,3055,5,2024-10-08 05:22:44.897331,Absent
308,3251,6,2024-10-11 05:22:44.897336,Absent
309,771,8,2024-11-01 05:22:44.897340,Present
310,3120,2,2024-10-07 05:22:44.897349,Absent
311,828,10,2024-10-22 05:22:44.897354,Present
312,4148,7,2024-10-23 05:22:44.897359,Present
313,1873,10,2024-10-26 05:22:44.897364,Present
314,3434,12,2024-10-30 05:22:44.897369,Absent
315,2489,10,2024-11-02 05:22:44.897373,Present
316,4003,4,2024-10-27 05:22:44.897378,Absent
317,4575,1,2024-10-26 05:22:44.897383,Present
318,725,6,2024-10-29 05:22:44.897387,Present
319,1514,3,2024-10-08 05:22:44.897392,Absent
320,1327,7,2024-10-12 05:22:44.897397,Absent
321,3213,5,2024-10-07 05:22:44.897470,Absent
322,1270,7,2024-10-27 05:22:44.897478,Absent
323,2087,3,2024-11-02 05:22:44.897482,Absent
324,2483,3,2024-10-05 05:22:44.897487,Present
325,1429,8,2024-10-11 05:22:44.897492,Present
326,2690,9,2024-10-31 05:22:44.897497,Absent
327,508,6,2024-10-12 05:22:44.897502,Present
328,3095,7,2024-10-11 05:22:44.897506,Present
329,275,7,2024-10-27 05:22:44.897511,Absent
330,2007,4,2024-10-30 05:22:44.897516,Present
331,4458,5,2024-10-27 05:22:44.897521,Present
332,363,2,2024-10-12 05:22:44.897526,Present
333,4575,7,2024-10-06 05:22:44.897530,Present
334,819,2,2024-10-15 05:22:44.897535,Absent
335,3102,2,2024-10-17 05:22:44.897540,Absent
336,4009,12,2024-10-14 05:22:44.897545,Present
337,3064,1,2024-10-16 05:22:44.897549,Present
338,3793,6,2024-11-02 05:22:44.897554,Present
339,674,7,2024-10-12 05:22:44.897559,Absent
340,3221,3,2024-10-14 05:22:44.897564,Absent
341,2874,4,2024-10-30 05:22:44.897568,Absent
342,2006,6,2024-10-17 05:22:44.897573,Absent
343,3088,12,2024-10-23 05:22:44.897578,Present
344,786,1,2024-10-15 05:22:44.897583,Present
345,2463,6,2024-11-03 05:22:44.897587,Absent
346,17,9,2024-10-12 05:22:44.897592,Present
347,3214,11,2024-10-21 05:22:44.897597,Absent
348,331,11,2024-10-06 05:22:44.897601,Absent
349,2410,4,2024-10-28 05:22:44.897606,Present
350,2466,5,2024-10-07 05:22:44.897611,Present
351,2867,6,2024-10-23 05:22:44.897616,Absent
352,2852,7,2024-10-23 05:22:44.897620,Absent
353,3137,10,2024-10-05 05:22:44.897625,Absent
354,4441,9,2024-10-06 05:22:44.897631,Absent
355,4315,2,2024-11-01 05:22:44.897636,Present
356,1735,11,2024-10-12 05:22:44.897641,Present
357,4763,4,2024-10-17 05:22:44.897645,Absent
358,3500,2,2024-10-10 05:22:44.897650,Present
359,3127,5,2024-10-18 05:22:44.897655,Present
360,513,7,2024-10-08 05:22:44.897659,Absent
361,3184,2,2024-10-24 05:22:44.897664,Absent
362,1948,4,2024-10-06 05:22:44.897669,Absent
363,1183,9,2024-10-18 05:22:44.897673,Present
364,3189,9,2024-10-24 05:22:44.897678,Present
365,434,12,2024-10-13 05:22:44.897682,Absent
366,4873,11,2024-10-08 05:22:44.897687,Present
367,141,11,2024-10-19 05:22:44.897691,Absent
368,2669,12,2024-10-25 05:22:44.897696,Absent
369,10,7,2024-10-14 05:22:44.897700,Absent
370,1499,7,2024-10-15 05:22:44.897704,Present
371,1562,3,2024-10-13 05:22:44.897709,Present
372,4258,2,2024-10-29 05:22:44.897713,Present
373,419,5,2024-10-19 05:22:44.897718,Present
374,4324,6,2024-10-31 05:22:44.897722,Present
375,2453,4,2024-10-06 05:22:44.897727,Present
376,625,4,2024-10-28 05:22:44.897731,Present
377,3192,10,2024-10-17 05:22:44.897735,Absent
378,1392,11,2024-10-26 05:22:44.897740,Present
379,521,10,2024-10-14 05:22:44.897744,Absent
380,3844,12,2024-11-02 05:22:44.897748,Present
381,2089,9,2024-10-05 05:22:44.897752,Absent
382,4273,1,2024-10-08 05:22:44.897756,Absent
383,662,1,2024-10-26 05:22:44.897761,Absent
384,4217,11,2024-10-28 05:22:44.897765,Present
385,1224,10,2024-10-29 05:22:44.897770,Absent
386,2271,2,2024-10-14 05:22:44.897775,Absent
387,4595,8,2024-10-27 05:22:44.897779,Absent
388,1586,5,2024-10-13 05:22:44.897783,Absent
389,4104,9,2024-10-07 05:22:44.897788,Absent
390,3385,8,2024-10-25 05:22:44.897792,Present
391,483,11,2024-10-30 05:22:44.897797,Present
392,2984,4,2024-10-17 05:22:44.897801,Absent
393,4468,3,2024-10-16 05:22:44.897806,Present
394,4430,3,2024-10-21 05:22:44.897811,Present
395,1403,12,2024-10-19 05:22:44.897815,Present
396,3454,3,2024-10-19 05:22:44.897821,Absent
397,4659,7,2024-10-17 05:22:44.897825,Present
398,4266,8,2024-10-05 05:22:44.897830,Present
399,4270,9,2024-10-06 05:22:44.897835,Present
400,2236,7,2024-10-16 05:22:44.897839,Present
401,785,9,2024-10-12 05:22:44.897844,Present
402,896,3,2024-11-03 05:22:44.897852,Present
403,4199,8,2024-10-27 05:22:44.897857,Absent
404,2120,6,2024-10-18 05:22:44.897862,Present
405,4015,8,2024-10-09 05:22:44.897867,Present
406,1758,4,2024-10-18 05:22:44.897872,Absent
407,1194,9,2024-10-21 05:22:44.897876,Present
408,2834,6,2024-10-08 05:22:44.897881,Present
409,4266,10,2024-11-03 05:22:44.897885,Present
410,351,2,2024-10-19 05:22:44.897890,Present
411,4360,3,2024-10-11 05:22:44.897894,Absent
412,3284,12,2024-10-11 05:22:44.897899,Present
413,4835,1,2024-10-08 05:22:44.897904,Absent
414,3385,7,2024-10-10 05:22:44.897908,Absent
415,4424,3,2024-10-21 05:22:44.897913,Present
416,3161,10,2024-11-02 05:22:44.897918,Present
417,4182,1,2024-10-15 05:22:44.897922,Present
418,4893,7,2024-10-29 05:22:44.897927,Absent
419,1013,4,2024-11-02 05:22:44.897931,Absent
420,1605,9,2024-10-16 05:22:44.897936,Present
421,4439,6,2024-10-12 05:22:44.897941,Absent
422,375,8,2024-10-05 05:22:44.897946,Present
423,3336,5,2024-10-31 05:22:44.897951,Present
424,3846,8,2024-10-10 05:22:44.897956,Absent
425,2940,1,2024-10-26 05:22:44.897960,Present
426,2481,5,2024-10-25 05:22:44.897967,Absent
427,743,8,2024-10-17 05:22:44.897971,Absent
428,4473,3,2024-10-31 05:22:44.897976,Absent
429,4290,3,2024-10-26 05:22:44.897981,Present
430,3763,2,2024-10-19 05:22:44.897985,Absent
431,2839,5,2024-10-29 05:22:44.897990,Absent
432,2288,6,2024-10-05 05:22:44.897995,Present
433,2834,3,2024-10-30 05:22:44.897999,Present
434,3096,12,2024-10-19 05:22:44.898003,Present
435,4334,2,2024-10-29 05:22:44.898008,Absent
436,360,4,2024-10-16 05:22:44.898012,Absent
437,2499,11,2024-11-01 05:22:44.898017,Present
438,1073,12,2024-10-14 05:22:44.898021,Present
439,2024,1,2024-10-12 05:22:44.898026,Absent
440,4973,5,2024-10-12 05:22:44.898030,Absent
441,3698,6,2024-10-23 05:22:44.898034,Present
442,1879,11,2024-10-14 05:22:44.898039,Absent
443,4285,5,2024-10-30 05:22:44.898043,Present
444,702,1,2024-11-03 05:22:44.898047,Present
445,3060,5,2024-10-08 05:22:44.898052,Present
446,4860,4,2024-10-11 05:22:44.898056,Present
447,3380,4,2024-10-24 05:22:44.898061,Present
448,3921,12,2024-11-03 05:22:44.898065,Absent
449,1229,5,2024-11-02 05:22:44.898070,Absent
450,472,4,2024-10-25 05:22:44.898074,Present
451,2105,6,2024-10-11 05:22:44.898079,Absent
452,3409,8,2024-10-28 05:22:44.898083,Present
453,4807,7,2024-11-03 05:22:44.898088,Absent
454,1287,12,2024-10-17 05:22:44.898092,Present
455,407,2,2024-10-15 05:22:44.898097,Absent
456,636,6,2024-10-08 05:22:44.898101,Present
457,619,2,2024-10-19 05:22:44.898106,Absent
458,241,11,2024-10-07 05:22:44.898113,Absent
459,4434,5,2024-10-25 05:22:44.898117,Absent
460,85,2,2024-10-18 05:22:44.898122,Present
461,884,6,2024-10-25 05:22:44.898126,Present
462,3945,11,2024-10-08 05:22:44.898131,Present
463,87,1,2024-10-27 05:22:44.898135,Present
464,2185,10,2024-10-23 05:22:44.898140,Absent
465,4550,3,2024-10-16 05:22:44.898145,Absent
466,4923,3,2024-10-18 05:22:44.898149,Present
467,1323,11,2024-10-21 05:22:44.898154,Absent
468,3052,11,2024-10-30 05:22:44.898159,Absent
469,1238,2,2024-10-15 05:22:44.898164,Present
470,3254,9,2024-10-15 05:22:44.898168,Absent
471,3215,5,2024-10-27 05:22:44.898173,Absent
472,1689,12,2024-10-13 05:22:44.898177,Present
473,1027,10,2024-10-22 05:22:44.898182,Present
474,4346,3,2024-11-01 05:22:44.898187,Absent
475,234,11,2024-10-18 05:22:44.898191,Absent
476,2821,3,2024-10-05 05:22:44.898196,Absent
477,2494,10,2024-10-06 05:22:44.898201,Present
478,2865,4,2024-10-27 05:22:44.898205,Absent
479,2771,3,2024-11-01 05:22:44.898210,Absent
480,4030,8,2024-10-18 05:22:44.898215,Absent
481,553,6,2024-10-24 05:22:44.898220,Present
482,3497,11,2024-10-18 05:22:44.898224,Present
483,118,11,2024-10-31 05:22:44.898229,Absent
484,1064,5,2024-10-19 05:22:44.898233,Present
485,4689,5,2024-10-11 05:22:44.898238,Present
486,1168,6,2024-10-19 05:22:44.898243,Absent
487,413,7,2024-10-05 05:22:44.898247,Present
488,3843,2,2024-10-11 05:22:44.898252,Absent
489,2359,10,2024-10-12 05:22:44.898257,Absent
490,3031,5,2024-10-18 05:22:44.898262,Absent
491,1641,6,2024-11-03 05:22:44.898266,Present
492,1892,6,2024-10-29 05:22:44.898271,Present
493,438,9,2024-10-13 05:22:44.898276,Absent
494,4119,12,2024-10-17 05:22:44.898280,Absent
495,2434,7,2024-10-09 05:22:44.898285,Present
496,2616,11,2024-10-23 05:22:44.898290,Absent
497,4193,6,2024-10-09 05:22:44.898294,Present
498,2266,7,2024-10-14 05:22:44.898299,Present
499,4416,5,2024-10-22 05:22:44.898304,Absent
500,1026,10,2024-11-03 05:22:44.898309,Absent
501,4025,7,2024-11-03 05:22:44.898314,Present
502,2346,6,2024-10-23 05:22:44.898318,Present
503,4965,11,2024-10-15 05:22:44.898323,Present
504,2538,5,2024-11-02 05:22:44.898328,Present
505,3933,8,2024-10-20 05:22:44.898333,Absent
506,1748,11,2024-10-13 05:22:44.898338,Absent
507,507,2,2024-10-29 05:22:44.898342,Present
508,3319,5,2024-10-25 05:22:44.898346,Present
509,4357,5,2024-11-01 05:22:44.898351,Present
510,1627,4,2024-10-06 05:22:44.898356,Present
511,1241,3,2024-11-01 05:22:44.898361,Absent
512,4837,2,2024-10-06 05:22:44.898366,Absent
513,3317,6,2024-10-12 05:22:44.898371,Absent
514,4295,3,2024-10-08 05:22:44.898375,Present
515,454,4,2024-10-26 05:22:44.898380,Present
516,928,12,2024-10-19 05:22:44.898482,Absent
517,1527,11,2024-10-29 05:22:44.898493,Absent
518,3303,7,2024-10-25 05:22:44.898498,Present
519,3016,2,2024-10-06 05:22:44.898550,Absent
520,4445,10,2024-10-14 05:22:44.898557,Absent
521,3589,2,2024-10-09 05:22:44.898562,Absent
522,4105,5,2024-10-25 05:22:44.898567,Present
523,1872,5,2024-10-28 05:22:44.898572,Absent
524,783,7,2024-10-05 05:22:44.898577,Present
525,1203,12,2024-10-10 05:22:44.898582,Present
526,297,12,2024-10-26 05:22:44.898586,Present
527,4706,12,2024-10-22 05:22:44.898591,Absent
528,2678,9,2024-10-19 05:22:44.898595,Present
529,1147,5,2024-10-26 05:22:44.898600,Absent
530,615,4,2024-11-02 05:22:44.898605,Present
