grade_id,student_id,subject_id,grade,exam_date
66,4438,7,C,2024-08-06 05:22:44.751942
67,218,9,A,2024-10-13 05:22:44.751946
68,114,5,D,2024-09-19 05:22:44.751951
69,3726,21,A,2024-10-04 05:22:44.751956
70,2771,20,C,2024-09-01 05:22:44.751963
71,2122,12,B,2024-08-05 05:22:44.751967
72,1830,37,A,2024-09-17 05:22:44.751972
73,159,49,A,2024-09-06 05:22:44.751977
74,495,15,C,2024-09-13 05:22:44.751982
75,4068,27,B,2024-09-06 05:22:44.751987
76,4987,37,A,2024-10-02 05:22:44.751991
77,2678,26,A,2024-10-14 05:22:44.751995
78,3643,34,F,2024-09-08 05:22:44.752001
79,1179,5,B,2024-09-03 05:22:44.752006
80,596,26,A,2024-07-31 05:22:44.752010
81,871,32,A,2024-10-16 05:22:44.752015
82,3271,21,D,2024-07-28 05:22:44.752020
83,1657,17,C,2024-07-27 05:22:44.752025
84,312,50,F,2024-08-23 05:22:44.752029
85,712,49,F,2024-08-31 05:22:44.752034
86,3593,37,D,2024-10-14 05:22:44.752039
87,1538,41,A,2024-10-05 05:22:44.752043
88,1432,10,C,2024-09-18 05:22:44.752048
89,2317,43,D,2024-09-18 05:22:44.752053
90,1164,29,D,2024-08-26 05:22:44.752058
91,202,6,F,2024-10-05 05:22:44.752063
92,91,31,C,2024-08-31 05:22:44.752067
93,2216,36,D,2024-09-18 05:22:44.752072
94,1784,6,A,2024-08-21 05:22:44.752077
95,1818,16,A,2024-08-22 05:22:44.752082
96,2725,35,C,2024-10-15 05:22:44.752086
97,3451,49,B,2024-10-01 05:22:44.752091
98,2270,41,A,2024-08-24 05:22:44.752095
99,3821,16,F,2024-10-19 05:22:44.752100
100,398,20,D,2024-08-05 05:22:44.752105
101,3665,25,F,2024-09-18 05:22:44.752110
102,642,23,D,2024-09-20 05:22:44.752114
103,1770,21,A,2024-09-20 05:22:44.752119
104,2786,29,A,2024-09-16 05:22:44.752123
105,2348,21,B,2024-09-04 05:22:44.752128
106,3486,11,A,2024-08-31 05:22:44.752133
107,1916,18,D,2024-09-09 05:22:44.752138
108,605,44,A,2024-09-13 05:22:44.752143
109,1345,11,C,2024-08-06 05:22:44.752148
110,1195,45,C,2024-08-08 05:22:44.752153
111,935,43,F,2024-09-05 05:22:44.752157
112,3894,32,D,2024-08-09 05:22:44.752162
113,4650,22,C,2024-08-18 05:22:44.752167
114,4277,48,F,2024-10-09 05:22:44.752172
115,4479,36,F,2024-10-05 05:22:44.752177
116,1609,27,A,2024-09-09 05:22:44.752182
117,3542,48,F,2024-10-23 05:22:44.752187
118,1208,13,F,2024-10-24 05:22:44.752192
119,3891,50,B,2024-10-11 05:22:44.752196
120,1317,20,A,2024-09-25 05:22:44.752200
121,2396,16,D,2024-08-05 05:22:44.752205
122,1933,21,A,2024-08-06 05:22:44.752210
123,720,3,C,2024-08-18 05:22:44.752215
124,2847,43,A,2024-09-21 05:22:44.752220
125,1969,38,A,2024-09-13 05:22:44.752224
126,4111,36,F,2024-09-20 05:22:44.752229
127,685,32,C,2024-09-19 05:22:44.752234
128,2801,21,B,2024-09-16 05:22:44.752239
129,402,26,A,2024-10-11 05:22:44.752244
130,2392,50,D,2024-10-14 05:22:44.752249
131,2875,33,C,2024-09-09 05:22:44.752254
132,3001,28,C,2024-09-22 05:22:44.752258
133,2273,28,C,2024-07-31 05:22:44.752263
134,4555,41,F,2024-08-30 05:22:44.752268
135,2143,12,D,2024-08-29 05:22:44.752273
136,2232,13,A,2024-09-24 05:22:44.752278
137,4003,16,A,2024-10-06 05:22:44.752283
138,3105,13,D,2024-08-14 05:22:44.752287
139,1609,48,B,2024-07-28 05:22:44.752292
140,2722,21,D,2024-10-24 05:22:44.752297
141,361,11,F,2024-10-04 05:22:44.752301
142,4693,22,A,2024-10-09 05:22:44.752306
143,3044,22,C,2024-10-18 05:22:44.752311
144,1520,48,B,2024-09-20 05:22:44.752315
145,3784,38,A,2024-08-11 05:22:44.752320
146,2859,31,A,2024-10-02 05:22:44.752325
147,2876,24,F,2024-08-06 05:22:44.752329
148,869,42,A,2024-08-01 05:22:44.752334
149,313,7,B,2024-08-26 05:22:44.752338
150,1601,34,A,2024-09-30 05:22:44.752343
151,4253,12,B,2024-08-23 05:22:44.752348
152,4333,49,D,2024-10-24 05:22:44.752352
153,492,7,F,2024-08-28 05:22:44.752357
154,2008,49,F,2024-10-22 05:22:44.752363
155,2144,39,B,2024-09-26 05:22:44.752368
156,3742,38,C,2024-08-20 05:22:44.752372
157,2075,31,A,2024-10-16 05:22:44.752376
158,3121,12,B,2024-08-22 05:22:44.752380
159,2952,17,D,2024-10-01 05:22:44.752385
160,2023,39,D,2024-08-27 05:22:44.752390
161,693,42,D,2024-08-14 05:22:44.752394
162,3750,3,A,2024-07-28 05:22:44.752412
163,1195,40,B,2024-10-25 05:22:44.752418
164,4224,21,F,2024-10-22 05:22:44.752422
165,1204,37,B,2024-09-26 05:22:44.752427
166,4366,25,B,2024-09-13 05:22:44.752432
167,4365,2,A,2024-09-18 05:22:44.752436
168,3813,11,F,2024-09-16 05:22:44.752441
169,2716,34,B,2024-09-12 05:22:44.752445
170,2964,3,F,2024-09-18 05:22:44.752450
171,4476,36,F,2024-08-15 05:22:44.752455
172,4802,27,D,2024-10-03 05:22:44.752460
173,2977,46,D,2024-10-19 05:22:44.752464
174,2232,31,C,2024-10-07 05:22:44.752469
175,527,17,A,2024-09-19 05:22:44.752474
176,1365,2,F,2024-08-10 05:22:44.752478
177,1945,2,A,2024-10-09 05:22:44.752483
178,4414,8,F,2024-08-25 05:22:44.752487
179,2401,24,A,2024-10-05 05:22:44.752492
180,1971,32,D,2024-10-04 05:22:44.752496
181,3340,22,F,2024-09-19 05:22:44.752501
182,4403,1,B,2024-10-24 05:22:44.752505
183,1247,19,A,2024-10-21 05:22:44.752509
184,3564,10,D,2024-09-12 05:22:44.752514
185,107,12,D,2024-08-13 05:22:44.752518
186,2444,42,B,2024-10-10 05:22:44.752523
187,4325,18,D,2024-07-31 05:22:44.752528
188,1970,43,F,2024-08-22 05:22:44.752532
189,3238,18,A,2024-09-03 05:22:44.752537
190,1365,32,C,2024-08-18 05:22:44.752542
191,2368,22,A,2024-09-21 05:22:44.752546
192,4064,19,B,2024-10-21 05:22:44.752551
193,316,42,C,2024-10-21 05:22:44.752556
194,3650,49,F,2024-10-06 05:22:44.752560
195,1365,34,D,2024-08-27 05:22:44.752565
196,4322,40,F,2024-09-06 05:22:44.752570
197,3258,22,B,2024-09-22 05:22:44.752574
198,3449,11,C,2024-09-03 05:22:44.752579
199,3490,47,C,2024-08-21 05:22:44.752584
200,185,29,F,2024-08-15 05:22:44.752588
201,2555,19,D,2024-10-10 05:22:44.752592
202,528,27,F,2024-09-09 05:22:44.752598
203,2328,30,D,2024-08-20 05:22:44.752602
204,1520,19,C,2024-08-04 05:22:44.752607
205,3816,2,F,2024-08-22 05:22:44.752611
206,2730,2,C,2024-08-16 05:22:44.752616
207,1448,17,B,2024-07-28 05:22:44.752620
208,1519,11,A,2024-08-27 05:22:44.752625
209,4046,19,C,2024-08-15 05:22:44.752629
210,3767,5,D,2024-08-21 05:22:44.752634
211,1009,20,B,2024-09-23 05:22:44.752638
212,956,12,D,2024-08-11 05:22:44.752643
213,1586,38,F,2024-10-10 05:22:44.752647
214,1388,29,F,2024-10-02 05:22:44.752652
215,4126,44,B,2024-08-13 05:22:44.752657
216,2460,45,D,2024-09-28 05:22:44.752662
217,4670,30,B,2024-09-19 05:22:44.752667
218,4037,49,C,2024-10-01 05:22:44.752671
219,4656,4,B,2024-10-23 05:22:44.752676
220,3953,11,D,2024-08-30 05:22:44.752681
221,4220,41,B,2024-10-09 05:22:44.752686
222,4084,17,D,2024-08-25 05:22:44.752690
223,2444,7,C,2024-09-05 05:22:44.752695
224,2355,8,D,2024-09-14 05:22:44.752699
225,3347,21,F,2024-09-04 05:22:44.752704
226,601,49,B,2024-10-05 05:22:44.752709
227,1099,43,A,2024-10-15 05:22:44.752714
228,3210,27,C,2024-08-06 05:22:44.752718
229,4604,15,F,2024-08-29 05:22:44.752723
230,736,9,A,2024-08-09 05:22:44.752728
231,2611,48,A,2024-08-27 05:22:44.752733
232,2875,18,A,2024-10-24 05:22:44.752738
233,4556,2,C,2024-08-12 05:22:44.752743
234,4248,35,B,2024-10-18 05:22:44.752750
235,1800,23,D,2024-09-25 05:22:44.752755
236,1909,6,A,2024-10-24 05:22:44.752759
237,387,2,C,2024-10-10 05:22:44.752764
238,2896,40,B,2024-10-15 05:22:44.752769
239,409,49,B,2024-09-17 05:22:44.752774
240,4643,4,C,2024-10-10 05:22:44.752778
241,260,19,A,2024-10-17 05:22:44.752784
242,2008,30,C,2024-08-23 05:22:44.752788
243,3398,5,D,2024-08-17 05:22:44.752793
244,4619,24,F,2024-08-12 05:22:44.752797
245,1308,28,D,2024-09-11 05:22:44.752802
246,271,31,B,2024-10-16 05:22:44.752807
247,2899,15,B,2024-08-03 05:22:44.752812
248,4562,11,A,2024-07-28 05:22:44.752817
249,679,33,C,2024-08-23 05:22:44.752821
250,1655,45,F,2024-09-01 05:22:44.752826
251,3257,47,D,2024-08-14 05:22:44.752831
252,364,37,D,2024-09-26 05:22:44.752836
253,1888,33,C,2024-10-25 05:22:44.752841
254,4106,42,B,2024-10-21 05:22:44.752845
255,4467,9,F,2024-08-24 05:22:44.752850
256,797,35,D,2024-10-21 05:22:44.752855
257,3097,26,C,2024-08-30 05:22:44.752859
258,1009,35,F,2024-09-03 05:22:44.752864
259,3853,20,A,2024-08-06 05:22:44.752869
260,3472,14,B,2024-09-14 05:22:44.752873
261,3605,39,F,2024-10-03 05:22:44.752878
262,4699,17,F,2024-10-12 05:22:44.752882
263,2536,28,B,2024-10-09 05:22:44.752887
264,1066,41,F,2024-08-29 05:22:44.752892
265,1393,4,A,2024-10-09 05:22:44.752897
266,475,42,C,2024-09-22 05:22:44.752902
267,189,50,D,2024-09-15 05:22:44.752907
268,2378,35,F,2024-10-02 05:22:44.752912
269,2958,44,F,2024-07-28 05:22:44.752917
270,4063,48,B,2024-08-14 05:22:44.752922
271,2274,36,D,2024-08-13 05:22:44.752927
272,268,11,C,2024-09-09 05:22:44.752931
273,2306,40,A,2024-08-10 05:22:44.752935
274,2545,5,C,2024-10-05 05:22:44.752940
275,1384,40,F,2024-07-30 05:22:44.752944
276,467,19,D,2024-10-11 05:22:44.752949
277,1127,15,A,2024-10-17 05:22:44.752954
278,2380,39,F,2024-09-22 05:22:44.752958
279,3468,20,A,2024-09-03 05:22:44.752963
280,9,34,D,2024-09-26 05:22:44.752968
281,4018,48,B,2024-07-31 05:22:44.752972
282,2405,25,D,2024-10-13 05:22:44.752977
283,3204,2,B,2024-10-07 05:22:44.752982
284,895,33,D,2024-08-14 05:22:44.752986
285,1749,32,A,2024-09-26 05:22:44.752991
286,210,24,B,2024-10-04 05:22:44.752995
287,2044,36,B,2024-10-01 05:22:44.753000
288,3944,38,D,2024-08-04 05:22:44.753005
289,2603,31,A,2024-10-16 05:22:44.753009
290,1025,11,A,2024-09-21 05:22:44.753015
291,2940,21,F,2024-09-11 05:22:44.753019
292,1531,2,F,2024-10-03 05:22:44.753023
293,4963,47,B,2024-08-13 05:22:44.753027
294,879,13,C,2024-08-12 05:22:44.753032
295,2168,4,C,2024-08-24 05:22:44.753036
296,391,33,D,2024-08-22 05:22:44.753041
297,2476,22,F,2024-08-13 05:22:44.753046
298,2340,3,F,2024-08-21 05:22:44.753051
299,1769,14,B,2024-08-02 05:22:44.753056
300,3696,22,C,2024-09-15 05:22:44.753060
301,3931,49,F,2024-10-01 05:22:44.753065
302,2118,13,C,2024-08-15 05:22:44.753070
303,4687,38,B,2024-08-22 05:22:44.753074
304,618,18,D,2024-08-08 05:22:44.753079
305,3536,5,A,2024-10-15 05:22:44.753084
306,4915,20,F,2024-09-17 05:22:44.753088
307,2318,7,B,2024-08-16 05:22:44.753094
308,3964,3,B,2024-10-15 05:22:44.753098
309,1985,17,D,2024-09-05 05:22:44.753103
310,2106,29,F,2024-09-22 05:22:44.753111
311,4539,37,C,2024-08-13 05:22:44.753115
312,4778,27,D,2024-08-29 05:22:44.753120
313,1735,8,C,2024-09-22 05:22:44.753125
314,138,44,B,2024-09-23 05:22:44.753130
315,4378,3,F,2024-08-24 05:22:44.753134
316,4338,48,A,2024-09-09 05:22:44.753139
317,349,9,A,2024-10-04 05:22:44.753144
318,2302,23,B,2024-09-14 05:22:44.753149
319,2113,14,D,2024-10-14 05:22:44.753154
320,49,38,D,2024-08-23 05:22:44.753158
321,4357,30,B,2024-09-22 05:22:44.753163
322,1755,17,F,2024-08-29 05:22:44.753168
323,2080,8,F,2024-08-24 05:22:44.753173
324,593,21,F,2024-09-28 05:22:44.753177
325,262,19,C,2024-09-10 05:22:44.753182
326,2202,19,C,2024-08-10 05:22:44.753186
327,4984,35,F,2024-09-25 05:22:44.753191
328,1194,21,F,2024-09-23 05:22:44.753196
329,4931,12,D,2024-09-18 05:22:44.753201
330,3520,2,B,2024-08-28 05:22:44.753206
331,1440,41,A,2024-08-16 05:22:44.753210
332,3536,26,B,2024-09-03 05:22:44.753215
333,4527,35,F,2024-08-16 05:22:44.753220
334,921,21,B,2024-10-22 05:22:44.753225
335,600,3,F,2024-09-23 05:22:44.753230
336,657,2,D,2024-09-18 05:22:44.753234
337,4656,11,C,2024-10-25 05:22:44.753239
338,608,8,D,2024-09-27 05:22:44.753244
339,4419,3,C,2024-09-06 05:22:44.753248
340,2636,35,A,2024-09-19 05:22:44.753253
341,3239,40,F,2024-10-02 05:22:44.753258
342,4082,50,D,2024-08-14 05:22:44.753263
343,3821,10,C,2024-08-01 05:22:44.753268
344,2651,46,F,2024-09-21 05:22:44.753273
345,679,17,C,2024-10-09 05:22:44.753277
346,2498,37,C,2024-09-28 05:22:44.753282
347,242,21,F,2024-09-12 05:22:44.753287
348,3231,1,C,2024-08-08 05:22:44.753292
349,1120,29,C,2024-10-10 05:22:44.753297
350,1813,44,C,2024-08-28 05:22:44.753301
351,1533,26,F,2024-10-09 05:22:44.753306
352,2958,11,F,2024-07-29 05:22:44.753311
353,3514,12,C,2024-09-10 05:22:44.753316
354,3731,16,D,2024-08-23 05:22:44.753323
355,4608,21,F,2024-09-04 05:22:44.753327
356,4913,36,D,2024-09-17 05:22:44.753332
357,3107,46,F,2024-09-19 05:22:44.753337
358,858,50,C,2024-09-01 05:22:44.753341
359,4358,31,C,2024-09-05 05:22:44.753346
360,2211,17,C,2024-09-08 05:22:44.753350
361,703,40,B,2024-08-08 05:22:44.753355
362,3068,13,F,2024-08-18 05:22:44.753360
363,1358,28,A,2024-09-19 05:22:44.753364
364,2890,8,A,2024-10-01 05:22:44.753369
365,4269,21,B,2024-09-01 05:22:44.753373
366,4198,43,F,2024-09-22 05:22:44.753377
367,586,22,B,2024-08-08 05:22:44.753382
368,929,7,A,2024-08-12 05:22:44.753387
369,1036,19,D,2024-10-08 05:22:44.753391
370,3870,12,D,2024-10-16 05:22:44.753396
371,1036,11,B,2024-08-04 05:22:44.753400
372,2937,23,A,2024-08-10 05:22:44.753405
373,3729,43,B,2024-09-23 05:22:44.753409
374,3477,6,F,2024-07-27 05:22:44.753414
375,3617,14,C,2024-10-24 05:22:44.753418
376,4509,23,B,2024-09-10 05:22:44.753423
377,2578,9,D,2024-08-11 05:22:44.753428
378,4933,36,A,2024-10-17 05:22:44.753432
379,4858,20,F,2024-10-24 05:22:44.753436
380,3828,46,F,2024-09-07 05:22:44.753441
381,3529,49,D,2024-09-09 05:22:44.753445
382,1487,40,C,2024-09-07 05:22:44.753450
383,4176,25,A,2024-09-22 05:22:44.753454
384,2243,2,D,2024-10-25 05:22:44.753458
385,2346,23,C,2024-09-05 05:22:44.753463
386,990,21,D,2024-09-13 05:22:44.753467
387,1369,31,C,2024-08-24 05:22:44.753471
388,1974,34,B,2024-09-17 05:22:44.753476
389,2693,10,B,2024-08-28 05:22:44.753480
390,4725,39,F,2024-10-24 05:22:44.753485
391,387,8,C,2024-08-12 05:22:44.753490
392,3178,26,F,2024-07-27 05:22:44.753495
393,3649,5,D,2024-10-10 05:22:44.753500
394,4406,5,D,2024-10-22 05:22:44.753505
395,3917,31,C,2024-10-02 05:22:44.753509
396,2804,33,D,2024-10-08 05:22:44.753514
397,3486,31,A,2024-10-25 05:22:44.753518
398,2009,28,D,2024-09-26 05:22:44.753522
399,4105,37,C,2024-10-02 05:22:44.753527
400,4167,11,C,2024-08-23 05:22:44.753531
401,1134,28,B,2024-09-27 05:22:44.753536
402,1856,10,F,2024-07-30 05:22:44.753542
403,4847,38,D,2024-08-12 05:22:44.753547
404,1439,25,B,2024-10-20 05:22:44.753552
405,833,33,B,2024-08-15 05:22:44.753557
406,2140,42,B,2024-10-23 05:22:44.753561
407,3430,30,D,2024-08-22 05:22:44.753566
408,2290,17,A,2024-08-12 05:22:44.753570
409,3163,6,C,2024-08-09 05:22:44.753575
410,4555,28,A,2024-08-07 05:22:44.753579
411,2230,32,B,2024-10-24 05:22:44.753583
412,1373,5,F,2024-09-09 05:22:44.753588
413,4706,36,C,2024-09-18 05:22:44.753592
414,3895,20,B,2024-10-20 05:22:44.753597
415,3257,46,D,2024-10-01 05:22:44.753602
416,202,49,C,2024-10-01 05:22:44.753606
417,392,36,C,2024-09-13 05:22:44.753611
418,3344,28,B,2024-08-14 05:22:44.753615
419,2655,12,C,2024-08-22 05:22:44.753620
420,319,24,C,2024-07-28 05:22:44.753624
421,2896,37,A,2024-10-15 05:22:44.753629
422,3774,46,B,2024-10-15 05:22:44.753634
423,4343,50,D,2024-10-02 05:22:44.753639
424,1270,42,C,2024-09-12 05:22:44.753644
425,770,12,B,2024-10-12 05:22:44.753649
426,1894,40,C,2024-09-14 05:22:44.753653
427,916,12,D,2024-09-16 05:22:44.753658
428,4775,17,C,2024-10-22 05:22:44.753663
429,1838,29,C,2024-09-16 05:22:44.753668
430,367,44,D,2024-08-24 05:22:44.753673
431,44,12,C,2024-08-29 05:22:44.753677
432,4798,18,C,2024-09-19 05:22:44.753682
433,686,49,B,2024-09-05 05:22:44.753687
434,1850,41,B,2024-08-20 05:22:44.753691
435,1453,11,C,2024-08-31 05:22:44.753695
436,4894,1,C,2024-10-03 05:22:44.753700
437,3886,2,B,2024-09-11 05:22:44.753704
438,1021,27,B,2024-07-30 05:22:44.753709
439,4096,39,C,2024-07-29 05:22:44.753713
440,1820,40,C,2024-10-18 05:22:44.753717
441,3201,6,F,2024-10-16 05:22:44.753722
442,1709,2,B,2024-10-19 05:22:44.753727
443,771,33,C,2024-10-11 05:22:44.753731
444,3478,38,A,2024-10-16 05:22:44.753736
445,2700,15,F,2024-10-10 05:22:44.753740
446,2477,19,D,2024-08-16 05:22:44.753744
447,177,22,B,2024-10-23 05:22:44.753749
448,4248,39,C,2024-09-12 05:22:44.753753
449,3795,30,C,2024-08-20 05:22:44.753757
450,1466,33,F,2024-09-23 05:22:44.753762
451,2033,48,C,2024-08-20 05:22:44.753766
452,800,32,C,2024-08-01 05:22:44.753771
453,4564,33,A,2024-09-21 05:22:44.753775
454,1494,25,F,2024-08-26 05:22:44.753779
455,1908,10,B,2024-09-17 05:22:44.753784
456,2893,10,D,2024-09-24 05:22:44.753788
457,3974,21,C,2024-09-01 05:22:44.753793
458,702,41,C,2024-10-21 05:22:44.753800
459,2765,33,A,2024-08-07 05:22:44.753805
460,840,26,B,2024-10-16 05:22:44.753810
461,89,22,D,2024-09-11 05:22:44.753815
462,3495,25,B,2024-09-22 05:22:44.753819
463,3600,48,C,2024-10-21 05:22:44.753824
464,2446,2,C,2024-08-21 05:22:44.753829
465,1470,34,D,2024-08-26 05:22:44.753834
466,1725,27,A,2024-09-05 05:22:44.753839
467,2102,42,B,2024-09-27 05:22:44.753843
468,4731,3,F,2024-09-21 05:22:44.753848
469,4999,37,D,2024-08-02 05:22:44.753852
470,4444,19,D,2024-08-08 05:22:44.753857
471,4690,45,F,2024-08-25 05:22:44.753861
472,1353,3,D,2024-08-04 05:22:44.753866
473,1899,14,C,2024-09-20 05:22:44.753870
474,2581,26,F,2024-08-25 05:22:44.753875
475,1037,7,C,2024-10-24 05:22:44.753880
476,3459,2,D,2024-09-11 05:22:44.753884
477,3293,22,F,2024-09-25 05:22:44.753889
478,3565,7,C,2024-08-03 05:22:44.753894
479,3565,12,F,2024-10-01 05:22:44.753898
480,1277,26,A,2024-10-03 05:22:44.753902
481,2843,29,F,2024-10-22 05:22:44.753907
482,3158,11,F,2024-10-17 05:22:44.753911
483,227,15,B,2024-10-03 05:22:44.753916
484,2818,31,B,2024-10-09 05:22:44.753921
485,1867,35,D,2024-10-17 05:22:44.753925
486,3080,8,B,2024-09-16 05:22:44.753929
487,4071,45,F,2024-10-04 05:22:44.753934
488,4250,2,D,2024-10-16 05:22:44.753938
489,3410,13,C,2024-08-15 05:22:44.753943
490,4772,35,A,2024-09-07 05:22:44.753948
491,3976,4,C,2024-10-23 05:22:44.753953
492,1865,27,A,2024-10-06 05:22:44.753957
493,3084,21,A,2024-10-04 05:22:44.753963
494,972,31,A,2024-09-18 05:22:44.753967
495,2082,14,D,2024-09-10 05:22:44.753971
496,2574,14,D,2024-09-24 05:22:44.753976
497,4607,29,D,2024-10-10 05:22:44.753981
498,3737,8,B,2024-08-12 05:22:44.753986
499,2782,16,D,2024-08-19 05:22:44.753991
500,555,41,D,2024-10-15 05:22:44.753995
501,4363,21,F,2024-08-25 05:22:44.754000
502,2485,1,A,2024-10-05 05:22:44.754004
503,1915,44,A,2024-08-17 05:22:44.754009
504,3625,22,A,2024-10-01 05:22:44.754014
505,2348,10,C,2024-08-28 05:22:44.754018
506,4835,37,F,2024-09-07 05:22:44.754023
507,612,18,D,2024-10-15 05:22:44.754028
508,4933,29,D,2024-09-04 05:22:44.754032
509,731,26,A,2024-07-29 05:22:44.754037
510,2939,42,B,2024-10-18 05:22:44.754042
511,3866,17,B,2024-09-12 05:22:44.754048
512,4728,34,F,2024-07-30 05:22:44.754052
513,494,15,C,2024-10-02 05:22:44.754057
514,2009,6,B,2024-10-20 05:22:44.754061
515,734,16,F,2024-08-18 05:22:44.754066
516,2997,1,C,2024-09-02 05:22:44.754071
517,4261,27,D,2024-08-23 05:22:44.754076
518,4125,25,C,2024-09-27 05:22:44.754081
519,1341,42,D,2024-10-09 05:22:44.754086
520,3803,1,C,2024-10-01 05:22:44.754091
521,683,30,F,2024-08-02 05:22:44.754096
522,518,22,A,2024-08-18 05:22:44.754100
523,2332,43,F,2024-10-09 05:22:44.754105
524,1778,1,F,2024-10-13 05:22:44.754110
525,696,21,F,2024-08-27 05:22:44.754115
526,2894,17,A,2024-08-17 05:22:44.754120
527,833,29,C,2024-08-20 05:22:44.754125
528,1769,2,B,2024-09-20 05:22:44.754130
529,969,37,F,2024-09-25 05:22:44.754155
530,96,26,F,2024-10-20 05:22:44.754159
531,824,7,D,2024-10-22 05:22:44.754164
532,2304,37,C,2024-08-01 05:22:44.754169
533,328,22,C,2024-10-11 05:22:44.754174
534,2727,35,F,2024-10-16 05:22:44.754179
535,3712,11,A,2024-08-04 05:22:44.754184
536,2214,17,D,2024-09-07 05:22:44.754188
537,3604,39,C,2024-09-17 05:22:44.754193
538,3176,31,B,2024-09-05 05:22:44.754198
539,1025,22,D,2024-08-10 05:22:44.754202
540,4875,10,C,2024-09-12 05:22:44.754207
541,1140,40,D,2024-09-04 05:22:44.754212
542,2483,36,F,2024-08-28 05:22:44.754217
543,33,32,C,2024-10-20 05:22:44.754222
544,4635,1,D,2024-08-18 05:22:44.754226
545,2730,4,A,2024-10-15 05:22:44.754231
546,2670,4,B,2024-09-15 05:22:44.754235
547,563,37,D,2024-10-21 05:22:44.754240
548,896,37,B,2024-08-24 05:22:44.754244
549,317,2,C,2024-10-09 05:22:44.754249
550,1785,24,C,2024-10-24 05:22:44.754254
551,4073,10,B,2024-08-16 05:22:44.754259
552,1084,13,C,2024-10-24 05:22:44.754264
553,155,12,B,2024-08-08 05:22:44.754268
554,1789,33,A,2024-10-14 05:22:44.754273
555,1303,31,D,2024-09-12 05:22:44.754278
556,1894,25,C,2024-08-24 05:22:44.754283
557,294,33,C,2024-10-14 05:22:44.754288
558,4182,13,F,2024-10-22 05:22:44.754292
559,4972,8,B,2024-08-31 05:22:44.754297
560,4778,19,A,2024-10-24 05:22:44.754302
561,1131,27,A,2024-09-10 05:22:44.754306
562,1840,20,D,2024-09-05 05:22:44.754311
